City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Aylesbury,0,GB,1551059760,73,51.82,-0.81,41.0,3.36
Darnah,56,LY,1551061975,100,32.77,22.64,55.12,17.69
Los Llanos de Aridane,0,ES,1551060000,55,28.66,-17.92,62.6,3.36
Pong,20,TH,1551060000,66,12.95,100.98,86.0,10.29
Tiksi,68,RU,1551061975,66,71.64,128.87,-5.09,19.82
Dingle,0,PH,1551061976,54,11.0,122.67,84.91,11.21
Abu Samrah,20,SY,1551061976,89,35.3,37.18,40.0,2.37
Tongliao,0,CN,1551061976,39,43.61,122.27,37.03,11.21
Mount Isa,40,AU,1551060000,49,-20.73,139.49,89.6,9.17
Meulaboh,20,ID,1551061977,100,4.14,96.13,81.81,3.6
Tokonou,0,GN,1551061977,60,9.65,-9.78,61.38,2.71
Phalaborwa,92,ZA,1551060000,83,-23.95,31.14,73.4,9.17
Ukiah,90,US,1551059760,87,39.15,-123.21,48.2,4.7
Barcelos,0,PT,1551060000,62,41.53,-8.62,55.4,10.29
Tucurui,80,BR,1551061978,95,-3.77,-49.67,74.25,3.49
Caxito,20,BR,1551061978,78,-22.65,-42.51,79.65,2.93
Cockburn Town,0,TC,1551061978,97,21.46,-71.14,77.71,19.04
Praia,0,BR,1551060000,73,-20.25,-43.81,77.0,2.24
Bella Union,64,CO,1551061979,57,8.5,-73.35,74.56,4.72
Ampanihy,12,MG,1551061980,89,-24.69,44.75,66.73,2.93
Gamba,8,CN,1551061980,82,28.28,88.52,9.58,10.31
Livani,0,LV,1551061980,80,56.35,26.18,30.15,11.99
Lichtenburg,0,ZA,1551061980,54,-26.15,26.16,55.3,7.29
Havoysund,75,NO,1551059400,93,71.0,24.66,35.6,20.8
Frontera,40,MX,1551059100,83,18.53,-92.64,77.0,5.82
Lamu,0,ID,1551061981,76,0.57,122.3,84.51,0.81
Zhigansk,64,RU,1551061981,72,66.77,123.37,-10.94,4.94
Nabire,20,ID,1551061982,87,-3.36,135.5,78.25,2.37
Mezen,92,RU,1551061982,93,65.85,44.24,32.58,6.4
Gander,20,CA,1551060000,55,48.95,-54.61,6.8,6.93
Mitsamiouli,8,KM,1551061982,100,-11.38,43.28,80.41,2.37
Changping,0,CN,1551060000,19,40.22,116.23,46.4,6.71
Tolaga Bay,100,NZ,1551061983,80,-38.37,178.3,61.2,21.27
Knysna,0,ZA,1551060000,93,-34.04,23.05,57.2,2.24
Gurupi,0,BR,1551061893,89,-11.73,-49.07,74.79,3.15
Doha,0,QA,1551060000,68,25.29,51.53,68.0,12.75
Bulancak,75,TR,1551059400,87,40.94,38.23,42.8,5.82
Sur,0,OM,1551061984,96,22.57,59.53,71.01,6.17
Anuradhapura,8,LK,1551061984,80,8.34,80.41,79.65,5.17
Kargil,48,PK,1551061984,74,34.56,76.13,-2.89,1.25
Aguimes,0,ES,1551060000,27,27.91,-15.45,64.4,6.93
Biltine,20,TD,1551061985,42,14.53,20.93,66.1,4.94
Kendari,36,ID,1551061985,89,-3.99,122.52,85.14,3.71
San Quintin,20,PH,1551061985,47,17.54,120.52,80.55,3.83
Santa Cruz,1,US,1551060900,71,36.97,-122.03,55.4,3.36
Maragogi,8,BR,1551061987,97,-9.01,-35.22,74.47,4.16
Richards Bay,68,ZA,1551061987,93,-28.77,32.06,72.81,5.95
Reshetylivka,68,UA,1551061987,81,49.56,34.08,19.26,10.76
Bassano,0,CA,1551061987,27,50.79,-112.47,-20.17,4.38
Sorong,0,ID,1551061988,100,-0.86,131.25,81.81,4.38
Sena Madureira,12,BR,1551061988,91,-9.07,-68.66,75.28,3.15
Praya,40,ID,1551061800,66,-8.71,116.27,87.8,3.36
Dzidzantun,68,MX,1551061989,73,21.25,-89.05,77.76,4.94
Mana,88,RS,1551060000,79,43.52,20.24,28.4,5.82
Olinda,75,EC,1551060000,78,-2.03,-79.75,80.6,5.82
Okakarara,92,NA,1551061989,80,-20.59,17.46,66.82,3.04
Chapada dos Guimaraes,40,BR,1551060000,83,-15.46,-55.75,82.4,5.95
Ban Tak,0,TH,1551060000,60,17.04,99.08,73.4,2.24
Mount Pleasant,1,US,1551060900,52,33.16,-94.97,46.4,3.6
Alekseyevskaya,32,RU,1551061991,80,45.77,40.15,19.89,3.04
Auchi,48,NG,1551061991,93,7.07,6.27,76.23,5.5
Elko,90,US,1551059760,64,40.83,-115.76,37.4,6.93
Voskresenskoye,92,RU,1551061991,87,56.84,45.43,23.8,6.51
Puerto Escondido,5,MX,1551058920,74,15.86,-97.07,78.8,3.36
Dubovskoye,56,RU,1551061992,83,47.41,42.76,14.71,8.63
Coquimbo,0,CL,1551060000,87,-29.95,-71.34,60.8,2.24
Makarov,68,RU,1551061992,93,48.62,142.78,18.13,5.06
Angoche,8,MZ,1551061992,100,-16.23,39.91,81.54,3.94
Sicuani,76,PE,1551061993,93,-14.27,-71.23,39.28,2.15
Salta,75,AR,1551060000,94,-24.79,-65.41,77.0,1.7
Solak,75,TR,1551059400,87,36.96,30.9,48.2,5.82
Lapovo,40,RS,1551056400,68,44.19,21.1,28.4,2.24
Malkangiri,0,IN,1551061994,55,18.35,81.9,75.69,3.6
Jiayuguan,0,CN,1551061994,51,39.77,98.29,14.49,2.82
Turinskaya Sloboda,64,RU,1551061994,83,57.62,64.39,14.31,8.86
Balkhash,90,KZ,1551060000,84,46.84,74.98,3.2,8.95
Sayyan,0,YE,1551061995,52,15.17,44.32,39.33,2.26
Ahipara,0,NZ,1551061826,74,-35.17,173.16,68.35,22.5
Yumen,0,CN,1551061995,56,40.29,97.04,26.01,2.37
Abha,0,SA,1551060000,62,18.22,42.5,60.8,5.82
Dalvik,20,SE,1551061200,100,57.79,14.13,35.6,8.05
Villanueva de Cordoba,0,ES,1551060000,86,38.32,-4.63,41.0,2.24
Mabaruma,68,GY,1551061996,87,8.2,-59.78,75.82,6.62
Vestmannaeyjar,0,IS,1551061890,91,63.44,-20.27,43.29,13.78
Ankara,75,TR,1551059400,93,39.92,32.85,39.2,6.93
Diamantino,48,BR,1551061997,90,-14.4,-56.44,73.98,3.6
Valparaiso,1,US,1551060900,67,41.47,-87.06,24.8,29.97
Pangody,76,RU,1551061997,63,65.85,74.49,3.28,8.97
Avera,1,US,1551060900,33,33.19,-82.53,60.8,12.75
Kiunga,20,PG,1551061997,74,-6.12,141.3,85.36,3.27
Izumo,75,JP,1551060000,71,35.37,132.75,53.6,3.36
Miri,32,NG,1551061998,96,10.31,9.75,64.89,4.16
Tres Arroyos,12,AR,1551061808,71,-38.38,-60.28,52.2,13.0
Rabo de Peixe,40,PT,1551060000,71,37.8,-25.58,55.4,14.99
Sept-Iles,90,CA,1551060660,78,50.2,-66.38,17.6,25.28
Mujiayingzi,0,CN,1551061999,45,42.12,118.78,34.96,4.38
Ormond Beach,40,US,1551060900,78,29.29,-81.06,73.4,5.82
Ferkessedougou,0,CI,1551061999,54,9.6,-5.2,63.4,3.38
Lamar,1,US,1551059580,80,38.09,-102.62,30.2,9.17
Aravissos,40,GR,1551059400,74,40.84,22.3,33.8,2.24
Berlevag,88,NO,1551062000,97,70.86,29.09,36.22,17.25
Shinpokh,40,PK,1551060000,70,34.33,71.18,46.4,4.7
Rio Grande,92,BR,1551062001,100,-32.03,-52.1,71.77,10.87
Hirara,75,JP,1551060000,78,24.8,125.28,75.2,10.29
Nambutalai,92,IN,1551062001,100,9.72,79.0,79.06,7.4
Vardo,20,US,1551060900,33,39.62,-77.74,46.4,26.4
Bindura,0,ZW,1551062002,83,-17.3,31.33,54.81,2.15
Shuangyang,0,CN,1551062002,82,25.0,118.61,60.16,4.83
Maldonado,0,UY,1551062002,100,-34.91,-54.96,60.7,5.39
Inhambane,92,MZ,1551062002,91,-23.87,35.38,78.7,6.17
Sharan,0,AF,1551062003,42,33.15,68.78,-5.9,2.15
Lazaro Cardenas,40,MX,1551059460,17,28.39,-105.62,55.4,5.82
Glinka,76,RU,1551062003,94,54.64,32.87,34.38,14.45
Dunedin,8,NZ,1551061814,66,-45.87,170.5,59.31,4.27
Winton,32,AU,1551062003,87,-22.38,143.04,84.24,5.06
San Policarpo,8,PH,1551062004,88,12.18,125.51,79.29,8.19
Alofi,92,NU,1551060000,78,-19.06,-169.92,82.4,17.22
Grong,88,NO,1551062004,95,64.47,12.32,34.87,10.87
Bocas del Toro,20,PA,1551062004,96,9.33,-82.25,81.22,13.11
Murmino,92,RU,1551062005,94,54.6,40.05,29.92,14.45
Pinega,80,RU,1551062005,94,64.7,43.39,32.26,5.73
Nauta,24,PE,1551062005,93,-4.51,-73.58,76.27,3.27
Rakai,56,UG,1551062006,93,-0.71,31.4,57.6,2.71
Vila Velha,20,BR,1551060000,88,-3.71,-38.6,77.0,4.7
De-Kastri,0,RU,1551062006,100,51.48,140.77,12.96,9.19
Uige,80,AO,1551062006,90,-7.61,15.06,66.37,2.15
Sistranda,75,NO,1551059400,87,63.73,8.83,44.6,17.22
Shangqiu,36,CN,1551062007,70,34.42,115.65,53.77,4.61
Vacaria,92,BR,1551062007,99,-28.51,-50.94,65.83,2.48
Yaan,20,NG,1551061761,90,7.38,8.57,75.73,7.63
Saint-Augustin,0,FR,1551060000,100,44.83,-0.61,41.0,2.24
Juneau,40,US,1551059760,68,58.3,-134.42,32.0,2.93
Bella Vista,100,AR,1551062008,95,-28.51,-59.05,71.28,9.64
Byron Bay,75,AU,1551060180,61,-28.65,153.62,77.0,19.46
Makinsk,36,KZ,1551062009,79,52.63,70.42,5.76,12.44
Caravelas,0,BR,1551062009,100,-17.73,-39.27,83.7,17.02
Makat,92,KZ,1551062009,95,47.65,53.35,28.66,7.4
Providencia,88,CO,1551062010,96,1.24,-77.6,55.21,0.92
Cristalina,56,BR,1551062010,88,-16.77,-47.61,69.66,2.59
Abu Zabad,0,SD,1551062010,61,12.35,29.25,65.79,2.82
Hay River,40,CA,1551060000,75,60.82,-115.79,-13.01,3.36
Cururupu,92,BR,1551062011,96,-1.82,-44.87,75.55,4.61
Toora-Khem,0,RU,1551062011,69,52.47,96.11,8.19,2.37
San Jose,36,PH,1551062012,71,15.79,120.99,79.51,1.92
Hailar,8,CN,1551062013,59,49.2,119.7,23.62,12.77
Charters Towers,12,AU,1551062013,71,-20.07,146.27,83.56,11.99
Muskegon,90,US,1551059760,58,43.23,-86.25,26.6,31.09
Griffith,24,AU,1551060000,30,-34.29,146.06,82.4,8.05
Karratha,0,AU,1551061992,24,-20.74,116.85,104.85,4.61
Artyom,0,RU,1551060000,16,43.36,132.19,37.4,8.95
